Gene,L1 larvae01,L1 larvae02,L2 larvae01,L2 larvae02,"L3 larvae, 12 hr post-molt01","L3 larvae, 12 hr post-molt02","L3 larvae, dark blue gut PS(1-2)01","L3 larvae, dark blue gut PS(1-2)02","L3 larvae, light blue gut PS(3-6)01","L3 larvae, light blue gut PS(3-6)02","L3 larvae, clear gut PS (7-9)01","L3 larvae, clear gut PS (7-9)02"
Mhc,1359.32,1322.5,1801.12,1760.22,3284.42,3234.72,1259.46,1232.48,691.554,673.084,131.457,126.256
Cyt-b5-r,463.24,541.987,448.794,524.562,698.676,816.076,148.945,174.296,50.4389,58.9598,16.4047,19.141
mdy,16.7932,17.1736,33.562,33.7304,39.3113,39.3389,18.3206,18.4624,11.9534,12.3349,28.346,27.9698
CG31739,18.5863,18.2442,18.0798,17.7713,17.6302,17.3528,12.122,11.9892,16.5093,16.4236,19.3655,19.2171
pncr003:2L,173.891,169.765,215.117,209.248,388.987,395.951,356.482,345.572,227.645,234.802,145.112,149.017
CG6115,57.1574,63.5854,49.4345,54.8009,75.875,85.933,122.009,136.522,197.619,220.643,244.981,266.106
ApepP,21.6645,22.1111,36.2885,37.0105,29.1672,29.6567,42.7366,43.5908,48.303,49.3119,73.8482,75.3589
CLIP-190,37.851,37.3155,47.2397,47.5633,40.2872,39.5768,37.6363,41.3061,32.1156,34.9769,26.9829,28.8756
BicD,24.9877,18.5028,32.673,25.5018,19.2541,14.75,13.132,10.0165,21.5423,16.4325,29.8421,22.6385
Sgt,92.2059,92.151,101.269,101.496,68.5326,72.0962,63.4769,63.4187,76.4723,76.4157,78.2559,78.1179
Aac11,32.529,33.2034,36.1523,37.1519,27.6548,28.2614,32.2007,36.3429,55.7614,57.6427,75.6094,78.5076
CG5110,16.3635,19.3809,18.7008,21.2886,15.0794,18.029,29.1804,33.1472,33.3413,38.091,42.8545,50.1711
CG6453,29.7263,32.8616,72.623,80.2732,47.7292,52.7639,34.6749,38.3202,41.9829,46.337,42.8305,47.2956
CG6412,71.0566,73.1607,77.6552,79.9776,59.0393,60.7949,29.1346,30.0145,39.8675,41.0638,44.5793,45.9627
CG15152,29.1274,29.1274,28.6946,28.6946,24.0324,24.0324,33.3825,33.3825,27.4586,27.4586,36.8314,36.8314
Fas3,43.077,43.9355,57.2626,58.3294,26.4201,27.0357,34.8074,35.5147,68.2643,69.3736,69.119,69.6759
RpS26,4033.6,4233.56,3009.44,3204.47,2539.45,2780.27,2186.87,2408.75,2247.54,2451.08,2088.06,2262.14
CG10211,27.4137,28.3419,146.563,150.679,46.5923,47.8144,27.5772,28.2226,22.3587,22.9342,14.8655,15.0288
CG10413,10.8567,11.4442,12.5034,13.165,11.8571,12.4794,14.7952,15.5633,24.8847,26.1844,50.6926,53.3117
CG31789,77.3804,98.2585,191.693,243.333,171.597,216.965,453.989,575.604,355.881,450.957,292.563,369.937
CG31751,20.3822,20.526,21.5991,21.7875,23.4254,23.7359,28.5892,28.8358,57.8989,58.5681,101.334,102.643
CG10341,51.1146,51.0827,17.6107,17.6065,13.479,13.4755,10.6688,10.6618,12.8462,12.825,13.2012,13.1862
CG10343,14.4085,16.1244,22.1446,24.6293,14.7926,16.4556,14.2694,15.7985,16.1728,17.9885,19.0369,21.0897
CG42305,133.598,454.561,172.216,327.19,144.039,285.82,47.0244,93.8219,22.2591,44.4882,13.3479,25.7688
CG17597,48.7489,48.7468,47.7873,47.7842,64.2706,64.2592,89.0299,89.0332,39.2306,39.2291,20.5796,20.6438
ScpX,21.4885,22.3774,27.1544,28.4266,44.0617,46.1552,88.0692,92.4345,67.4391,70.5994,49.792,52.109
CG10602,34.2676,34.273,78.5365,78.538,53.8391,53.846,51.3471,51.3323,52.7182,52.7481,64.5884,64.5983
mRpL13,57.4747,57.4729,71.7231,71.7203,42.1854,42.1983,13.9413,13.9387,12.9625,12.9576,15.5437,15.5452
Nedd8,15.6619,20.695,35.0751,42.9363,25.8728,25.7154,30.7617,35.8362,37.653,48.5009,55.498,68.1385
CG10621,142.735,161.273,115.623,130.596,186.258,210.25,134.519,151.972,95.7106,108.087,45.3334,51.1201
CG10623,16.6133,16.451,21.3491,21.1749,20.3874,20.2638,61.3708,60.7384,97.9092,96.9017,122.796,121.432
CG10639,75.5461,80.0867,78.7476,83.4049,78.1556,82.8869,59.6608,63.214,37.6172,39.8519,27.1365,28.6706
CG10641,21.4867,24.1904,13.4543,14.8917,11.7297,13.3295,11.1229,12.5222,19.6965,22.121,45.9359,51.2522
CG15168,27.1075,33.3054,39.3675,45.4555,21.6292,25.6034,18.2921,19.7125,19.2748,22.2957,28.3751,32.5426
CG10650,101.177,108.641,115.267,123.493,86.1446,92.4755,147.195,158.015,152.458,163.599,140.549,150.67
RpL30,1349.42,2317.32,1174.99,2015.75,957.142,1641.32,782.299,1344.2,747.033,1283.89,816.464,1401.82
mib2,20.3863,18.7472,15.5021,14.5676,14.1919,13.2361,16.9838,15.851,27.2923,25.71,32.5539,30.6626
Catsup,26.09,26.1396,49.9426,50.2113,43.3854,43.568,49.1811,49.3403,53.9538,54.1128,47.9905,48.1648
hkl,31.1918,33.2003,29.9095,32.089,19.0813,23.3714,21.5041,26.2046,36.9551,40.9245,42.3532,45.6479
CG10470,37.1269,39.8347,47.6811,50.8735,31.0565,33.7466,23.3479,25.3863,25.971,27.8598,32.3365,34.7353
l(2)37Bb,24.1767,24.725,27.6536,28.3865,21.7414,22.0607,12.3602,12.5592,12.6686,13.0077,13.9889,14.3416
Ddc,15.4473,15.9714,12.0493,12.5198,21.8938,22.8,14.7656,15.3794,150.605,156.896,458.482,477.558
l(2)37Cc,305.587,330.081,263.532,284.108,201.257,217.345,80.8283,87.2969,78.0107,84.3808,85.0109,90.9413
Aats-asn,92.9346,100.918,94.4921,102.544,75.1451,81.5311,49.3916,53.6037,51.6252,56.0826,53.2943,57.7858
l(2)37Ce,28.2001,28.635,24.8528,25.9194,20.8258,22.2896,30.3007,32.1976,34.2038,38.0166,37.4825,40.1043
fon,214.744,214.805,297.598,298.346,964.201,976.634,805.468,797.154,494.4,498.023,123.864,124.358
CG17549,116.35,123.645,88.7895,93.0877,83.7418,88.9325,175.61,185.859,180.456,190.137,88.8189,94.2265
CG17544,17.669,17.8389,15.0085,15.1034,15.7926,15.8801,12.0544,12.0771,12.431,12.5023,10.7587,10.8429
Pax,388.308,446.626,311.916,360.703,482.018,555.044,281.833,326.86,137.858,157.192,88.6522,97.0328
Lectin-galC1,10.7809,11.8406,23.6784,25.8712,42.5708,46.4026,114.176,124.752,91.4451,99.8216,95.9065,104.671
CG9987,23.9545,24.5229,30.2944,30.9933,25.4085,26.0114,18.9597,19.4096,22.5836,23.1195,20.8079,21.2915
CG10237,10.678,11.142,12.271,12.8933,30.1583,31.7348,14.0837,14.906,34.2642,35.8992,42.6437,45.1718
RanGAP,19.4975,16.8887,25.7593,22.3425,17.887,15.561,24.7572,21.4459,30.3712,26.3886,33.5726,29.3129
Top2,10.4616,10.534,19.0575,19.1923,15.9093,16.0139,25.0358,25.2158,40.8757,41.1607,46.2332,46.5621
swm,25.4707,25.3108,21.9278,21.7785,18.7039,18.6223,13.9456,13.8841,22.229,22.1063,24.1877,24.0756
CG10166,21.7998,28.3843,38.0093,48.6553,24.0107,30.2648,27.4868,35.1078,25.6407,32.5083,28.6611,36.5002
ref(2)P,31.5692,31.5541,27.7352,27.7212,43.0164,43.0031,103.713,103.669,150.819,150.772,170.94,179.077
TepIV,52.0957,52.8295,51.5134,52.379,104.84,106.173,55.7321,56.6687,47.161,47.8457,42.1447,42.8881
spi,40.4785,41.3812,34.5423,34.9692,19.8553,19.8037,34.086,35.3965,71.3419,71.0335,120.593,123.921
fbp,298.306,318.775,249.301,264.767,352.687,378.458,160.857,171.349,75.1931,80.1483,48.8011,51.8126
CG13962,35.1798,29.3991,31.1137,26.316,38.9618,32.1442,88.178,77.107,54.101,47.3475,14.4114,13.3024
CG10664,799.304,861.427,744.882,794.203,750.69,806.956,426.957,451.911,214.008,225.642,152.935,164.939
Hf,12.5257,12.756,14.4728,14.7717,33.5919,34.1103,47.3246,48.3269,32.3943,33.0368,15.5381,15.9351
pr,34.357,34.6009,42.3699,42.5645,46.3598,46.6699,64.5844,64.7977,50.1483,50.507,53.155,54.1281
fok,35.3902,34.8264,13.6381,14.3789,24.117,24.8698,21.5081,33.8227,74.028,84.4838,192.13,238.875
Taf13,16.5484,19.2172,17.288,19.6458,13.1075,15.1288,16.8061,18.9822,19.5251,22.1693,25.0535,28.4497
mRpS18B,40.1615,38.9491,41.0023,39.7318,28.0224,28.6641,11.7347,11.3926,12.5969,12.7721,13.2246,13.2347
CG17571,36.877,36.877,88.1429,88.1429,101.071,101.071,1486.33,1486.33,533.647,533.647,149.216,149.216
La,163.984,170.7,111.222,117.907,70.203,74.9094,33.8746,35.2002,37.9542,39.6858,42.788,46.4043
Arc-p34,47.1744,48.2869,50.9018,52.6896,39.8538,40.9656,41.3678,42.6998,47.2022,49.0788,59.5128,60.9123
CG2493,14.3925,14.3922,24.681,24.6804,35.5035,35.5032,43.9308,43.9305,58.9728,58.9721,115.69,115.689
CG9318,36.1605,40.516,54.2223,59.3349,45.2943,50.0637,40.24,44.5557,50.1789,55.7567,58.5392,64.4631
Fs(2)Ket,24.0377,23.567,16.391,15.9969,17.132,16.7591,10.4192,10.2087,24.9272,24.067,31.1038,29.4036
cad,18.1851,20.3891,11.7816,12.9698,11.3797,12.7148,11.019,12.1575,13.3552,14.8185,10.4051,11.2968
Pomp,32.0792,33.7513,66.6862,70.0733,56.7839,59.6391,77.6912,81.4575,139.5,146.468,173.75,182.483
vari,43.127,43.0395,31.0537,31.0454,21.1151,21.0799,22.8976,22.5265,32.6605,32.5887,37.584,37.5016
CG9331,387.127,428.698,412.949,472.082,529.298,596.356,197.657,217.582,90.2917,100.527,43.6847,46.7918
CG31676,21.1072,23.403,15.1548,16.6338,13.8797,15.4169,10.4928,11.3559,14.8776,16.6252,21.7479,23.7993
CG9336,212.774,261.319,69.2532,82.4102,77.8782,94.6962,97.6095,114.893,144.686,177.428,170.351,209.65
CG9338,105.509,170.622,67.0133,107.98,68.4385,110.124,72.8737,117.616,70.3515,112.995,60.0648,96.1414
CG9339,21.4008,19.8361,12.2715,11.5538,12.2122,11.8815,13.7949,12.8496,27.0799,26.1076,28.6125,27.2414
Mtp,23.0496,24.4332,54.692,57.6223,70.7727,75.2388,32.2661,34.3069,25.7425,27.478,24.1423,25.6006
RPA2,17.4204,18.8814,17.9557,19.3254,12.9424,14.1201,15.8508,17.057,19.4359,21.0392,23.1055,24.5322
CG34136,22.2048,26.8525,24.046,29.1081,19.5002,23.5669,18.4154,22.3191,11.2389,13.6111,27.0124,32.7158
CG9257,14.4575,14.4575,13.2037,13.2037,13.149,13.149,13.6607,13.6607,15.6869,15.6869,19.2543,19.2543
Acon,572.43,567.15,574.867,581.832,553.374,553.388,254.702,255.59,174.592,175.014,117.643,117.44
bur,40.8171,43.9371,28.1587,30.2266,25.3441,27.0652,29.2916,31.3496,37.3977,40.125,36.7751,39.4028
l(2)k14505,30.6633,38.0475,34.4256,42.6675,23.9261,29.4657,16.3671,20.205,17.1139,21.0846,19.111,23.4767
CG3305,54.124,51.1872,67.3515,68.1739,74.8031,74.715,138.933,135.261,199.503,196.095,245.332,254.481
Df31,78.9121,87.9665,94.7341,116.936,89.7297,112.632,191.105,213.901,312.571,349.814,368.86,411.829
cul-2,12.1654,15.1426,13.6435,16.8867,12.6521,15.8117,14.5906,17.9527,24.0283,29.6297,34.6462,42.7644
Ef2b,2834.58,3049.93,2543.16,2735.17,2172.58,2337.3,1563.4,1681.12,1600.19,1720.56,1691.35,1818.84
CG1416,53.9308,55.7085,54.2617,56.2001,40.7407,41.7654,23.959,24.7588,30.6383,31.924,40.5835,41.5122
CycK,19.0774,20.2741,18.7345,20.2379,17.3128,18.5213,20.0716,21.4415,24.6641,26.2634,28.1215,30.3028
CG6448,22.3895,22.6255,19.5731,20.1999,11.8698,12.2439,13.4905,11.4023,19.8742,20.6132,20.4627,21.196
CG1832,21.546,22.733,16.1301,17.3441,12.8959,13.9099,15.6969,16.923,23.4911,25.3196,32.6733,35.1988
CG3262,12.8245,16.1833,19.9988,25.0778,15.8879,19.897,25.6512,32.353,28.3092,35.9608,41.5202,52.091
RpL21,1569.57,1996.92,1508.46,1918.86,1207.08,1535.41,1111.11,1413.79,927.009,1179.38,1156.13,1470.39
Tif-IA,26.2565,27.0171,25.903,24.1687,19.0821,19.7644,11.9748,12.5107,18.815,17.5102,26.3223,27.3263
RpL5,3305.94,3266.04,3164.15,3034.43,2394.9,2367.52,2345.97,2311.92,2179.67,2143.93,2703.99,2630
CG40439,10.5633,14.4033,15.8169,21.1039,10.3887,14.167,11.025,15.0329,16.8607,22.6684,30.6173,41.9059
Cht3,20.4026,21.2382,62.3471,64.9021,25.3834,26.4221,42.4341,44.1763,108.093,112.519,156.65,163.077
Spf45,13.8547,15.8934,12.6102,14.2159,10.885,12.158,14.5782,16.5128,20.5956,23.0545,29.6,33.4516
CG40042,106.57,113.554,117.472,128.232,90.6058,95.5786,65.5703,70.3976,67.9608,73.368,96.2409,103.474
CG17683,14.6084,18.0516,16.5302,20.4424,16.4137,20.2302,18.2625,22.785,22.0484,27.3179,32.9637,40.2925
CG40127,81.646,106.139,122.241,158.796,82.0087,106.377,69.2955,90.1152,53.1619,69.1304,87.4224,113.523
RpL38,429.72,740.843,703.463,1213.96,416.835,713.467,327.669,565.041,301.263,519.97,501.622,865.399
CG17528,12.5363,12.4432,14.7218,14.5948,10.8982,10.7731,12.3131,12.1462,18.6884,18.5695,29.7004,29.4098
gus,11.893,11.8725,14.3854,14.3975,10.5988,12.1257,15.3246,17.8289,27.2362,26.962,50.8332,50.3165
d4,18.5629,17.2759,13.2558,13.6597,11.7743,11.8477,18.8071,18.9345,26.5012,26.6251,36.0745,36.2521
CG10465,13.6326,15.1376,21.1933,23.4501,14.9507,16.5814,22.5471,25.0163,27.0868,30.0591,47.1448,52.265
CG10417,17.2737,17.3629,21.3677,21.4389,15.7056,15.837,13.2579,13.3524,22.8423,22.9722,37.9241,37.9195
CG17508,19.8796,17.7002,24.9177,23.2474,37.4587,32.7422,80.7206,66.5372,70.8973,60.5892,71.1782,59.9061
CG11665,14.156,14.7069,17.0393,17.6763,13.0023,13.4803,19.1198,19.8639,28.5669,29.6617,47.8763,49.7062
CG1344,11.3773,11.7428,12.1992,12.5697,11.0689,11.3888,11.9146,12.2943,17.7987,18.343,26.8733,27.6819
l(2)NC136,31.5408,32.3278,27.243,27.5748,19.8544,20.566,22.5715,23.1457,38.1081,38.7982,51.3377,51.5924
CG1298,23.2156,23.2156,21.5986,21.5986,15.9543,15.9543,26.8644,26.8644,33.2144,33.2144,47.3194,47.3194
CG17337,57.2036,61.7474,93.3976,100.803,80.2163,86.588,98.6017,106.434,88.097,95.0814,91.3258,98.5695
l(2)09851,86.0887,86.0887,44.433,44.433,31.5871,31.5871,15.2622,15.2622,18.1481,18.1481,17.3194,17.3194
CG34200,64.5254,108.618,84.7133,141.566,56.715,95.4651,28.3963,47.3518,22.2017,37.7872,29.266,49.12
CG11163,14.1044,14.1015,15.9963,16.7299,11.6336,12.273,13.159,13.9765,18.9479,18.9612,34.9927,35.1153
CG7882,17.0583,21.6333,24.578,30.2916,25.3655,30.8198,25.786,31.4984,25.6882,31.5689,14.4414,17.3984
Src42A,20.208,20.3825,20.9873,21.165,14.5436,14.6688,16.6179,16.7722,28.8695,29.1041,42.7836,43.1238
PNGase,17.4977,18.5544,18.5059,19.6456,15.4111,16.3889,17.5043,18.5817,23.488,24.8672,33.9995,35.7625
Act42A,81.3507,83.3982,87.5178,89.6174,120.869,123.864,255.593,261.947,399.605,409.486,586.032,600.189
CG7843,19.1785,18.0233,29.8917,26.9855,22.4075,20.2671,22.0309,19.3934,29.7099,27.8564,42.3533,37.6956
Vha16,2075.37,1342.59,1835.75,1089.77,1375.56,970.579,814.285,515.909,678.784,462.462,785.88,428.354
Trap1,72.7166,74.9306,67.0145,70.7587,48.6005,51.3453,15.5821,15.8274,19.8256,19.7666,18.8312,19.6275
geminin,25.9477,25.9477,24.5056,24.5056,17.67,17.67,26.3081,26.3081,36.6124,36.6124,36.71,36.71
Dpit47,19.397,20.18,15.738,16.3491,11.4928,11.9394,13.198,13.7133,16.8383,17.4078,18.1101,18.73
Adf1,15.3072,15.822,16.8098,17.6333,11.8843,12.4074,18.4096,19.2246,27.1319,28.5085,33.8232,35.5502
CG3270,23.5847,25.5756,18.8989,20.4665,41.9806,45.202,44.546,48.3859,52.7139,57.3044,51.242,55.6973
Mob4,35.4336,36.3561,31.9609,32.6795,25.3396,25.7571,41.2383,42.3493,60.9658,62.8567,82.1487,83.8793
Rab2,49.1979,49.6425,37.9,38.7581,31.9507,32.0335,41.4913,42.1192,62.4281,63.5011,86.2396,87.6783
CG3409,22.9876,23.0052,18.4712,18.4147,14.7373,14.7505,10.6293,10.6783,24.0438,24.1227,19.2809,19.2738
l(2)01289,85.4566,85.8809,112.447,114.379,155.274,156.869,70.4874,70.769,54.8892,55.5677,33.2868,33.7245
Eb1,34.5205,33.342,48.8831,47.4692,41.3599,40.6102,45.2651,44.3196,73.2381,71.5816,132.126,129.065
CG3420,46.4861,54.7137,59.6399,69.8744,42.5051,49.9284,15.3223,17.8239,13.5121,15.7731,16.042,18.665
CG9436,70.1559,70.1559,53.6127,53.5863,64.438,64.438,41.4864,41.4103,34.2339,34.2138,30.1496,30.069
SdhB,295.349,307.929,290.481,303.059,293.375,305.777,153.379,159.841,92.152,96.0301,68.07,70.7055
ubl,21.5859,26.9116,29.3714,36.6179,21.1712,26.3946,22.0981,27.4205,24.4919,30.4178,25.7086,31.9598
CG3287,46.3507,46.5561,22.127,22.5521,17.3081,17.683,15.9607,16.3732,19.465,20.0759,23.3077,23.8273
coro,63.4481,62.0289,84.137,83.5296,76.178,74.769,54.6272,54.4136,59.2067,59.5501,53.551,54.2301
Spn4,33.3506,37.1167,42.5459,50.5104,57.9036,63.3149,53.8491,61.0537,54.076,62.0615,56.7512,67.513
Cyp6u1,10.4823,10.6077,18.5569,18.8308,12.7679,12.8421,11.9774,12.0519,12.3447,12.4596,11.7706,11.9067
CG30159,24.4096,29.2661,32.1065,39.3489,36.404,45.452,31.4598,39.0001,22.8758,27.8343,19.3771,23.4283
Tsp42Ec,63.4472,70.3236,38.5407,42.7349,31.7586,35.2147,54.7459,60.6067,42.3051,46.8871,29.0289,32.1537
Tsp42Ed,130.752,152.557,116.037,135.793,94.0104,110.094,119.257,139.626,68.3737,79.7988,56.0758,65.3015
Tsp42Ee,152.223,159.111,112.542,110.966,133.99,127.922,126.396,117.111,164.526,171.522,231.072,241.641
Tsp42Ef,31.1471,36.8689,30.0723,35.5833,34.1907,40.4768,28.5429,33.7324,31.3345,37.0129,36.4672,43.1004
Tsp42Eg,54.2095,59.9542,54.6707,60.4258,74.0366,81.8,27.5339,30.431,11.2997,12.4784,10.1885,11.2535
Tsp42El,36.949,39.4122,22.8739,24.3881,32.5665,34.7147,34.7858,37.0816,32.113,34.2539,33.4928,35.7256
Tsp42Eo,17.4496,18.5043,15.3499,15.4755,17.4086,19.3711,20.1072,20.1808,17.1618,17.5331,21.3894,20.8109
Tsp42Er,14.7927,15.0651,22.0337,22.4353,17.0796,17.8136,43.2803,45.5024,56.9984,56.1323,66.6467,64.8681
Tsp42Eq,38.1591,43.5544,33.0903,37.7553,27.0938,30.8866,29.9788,34.1635,16.2038,18.3954,11.3322,12.9337
Cyp9b2,15.234,16.0045,20.2618,21.3028,45.2847,47.5971,146.098,153.579,74.0072,77.7808,32.6759,34.3552
Spn43Ab,61.8824,69.1721,67.03,74.8662,151.168,168.762,110.015,122.883,49.8396,55.7468,14.2048,15.8932
nec,13.2733,17.4631,16.7006,21.9181,29.8379,39.2605,28.1189,36.8716,30.1238,39.4795,15.543,20.297
CG11107,54.2001,48.6834,34.915,31.4666,26.4668,24.4722,19.4969,18.4513,28.8743,26.3443,31.0609,28.8204
CG1707,115.902,132.18,177.624,204.138,115.877,165.192,137.275,159.127,86.4209,122.947,98.5173,112.303
Inos,179.701,187.588,117.307,121.757,159.666,166.908,99.4681,103.96,101.002,105.511,71.1725,74.4518
CG11127,15.5139,15.5109,13.8572,13.8457,12.202,12.2264,16.064,16.0681,17.5954,17.6495,15.1901,15.1662
p47,30.2672,33.8785,40.0597,44.7099,37.6866,41.9799,52.9363,58.9801,74.3282,82.8581,90.3625,100.666
Aldh-III,105.33,105.503,112.486,113.091,109.109,108.418,90.1303,90.022,80.2644,80.179,66.8211,66.5483
CG1620,16.5182,15.933,11.8955,11.6425,12.9046,12.3791,15.6803,15.1311,25.4623,24.618,28.9884,27.8639
CG12736,28.197,29.1688,26.3997,27.2861,24.5344,25.3021,16.4437,16.8694,15.9936,16.3787,16.2167,16.5186
CG2144,11.7439,11.8936,14.4421,14.6087,10.3413,10.4577,10.233,10.3584,11.5727,11.7253,12.1249,12.2689
CG1600,85.813,85.7835,33.3803,33.4445,44.3841,44.3896,57.6593,57.7124,106.152,106.238,266.588,266.942
Cyt-b5,291.068,316.61,393.507,429.242,353.322,385.153,206.634,224.687,123.988,134.858,115.493,125.88
CG1598,46.4493,51.9638,58.0784,64.9422,40.4143,45.2213,37.3175,41.7043,41.8604,46.7911,53.7114,59.6544
CG30499,29.4898,41.9386,31.8521,45.549,26.9538,38.5948,20.2348,28.6589,20.8679,29.7358,22.2617,31.6481
boca,25.6247,30.5342,42.2288,50.1758,32.7696,38.7873,30.5196,36.0646,32.7306,38.864,37.4447,44.3562
CG30492,24.3269,22.2688,30.8942,21.4368,33.5062,24.1715,36.7508,18.7948,25.42,18.5698,25.089,17.5139
Rpt1,68.6969,68.6969,125.05,125.05,91.4032,91.4032,152.056,152.056,246.788,246.788,363.949,363.949
CG2064,34.039,35.8684,21.5563,23.1123,27.385,28.8941,32.8914,35.1039,21.3564,22.7735,16.6358,17.4444
CG12042,15.5857,15.5868,13.6381,13.6407,11.6007,11.6133,12.0269,12.0548,15.4562,15.4577,17.4576,17.4456
mRpL52,65.2418,74.6099,69.924,80.4617,45.1519,51.8273,21.8424,25.1335,22.7117,26.2457,26.1939,30.0905
CG12107,45.9055,50.4211,63.4999,70.3287,42.832,47.8207,31.5897,34.6215,29.338,31.9953,37.078,40.6633
CG1399,15.2569,12.6516,16.0112,15.103,13.1379,12.3962,20.2421,18.1219,60.6725,54.8851,96.3841,85.9722
CG18812,50.0366,54.7947,34.2499,37.4655,32.9484,36.1647,34.6946,38.2273,79.7294,88.4365,296.083,329.366
CG30497,32.145,32.0762,26.6233,26.2686,37.0577,36.7722,22.3059,23.9505,47.7823,47.6184,33.3179,33.2497
CanB2,21.5885,30.3019,25.3544,30.9186,16.5843,26.9984,28.5163,38.508,38.3734,45.7749,49.6207,59.1085
CG12825,38.5028,58.0287,46.8729,69.8791,62.8926,85.8067,95.6355,139.586,55.4648,81.7663,32.6085,49.5982
Gapdh1,1351.55,1351.54,1605.08,1605.07,1956,1955.97,1751.78,1751.75,1001.92,1001.94,443.201,443.2
CG1553,20.8985,21.5076,15.6273,16.0722,18.0166,18.4946,14.2908,14.6281,19.7159,20.2495,18.5481,19.0488
CG1550,16.1876,16.2343,18.8982,19.0436,16.9025,17.044,14.3377,14.5467,17.6661,17.8316,17.6955,17.8899
CG1882,30.363,32.4107,31.1724,33.3138,32.0837,34.5052,44.0101,47.2854,55.8346,60.2633,60.7217,64.0816
cathD,21.2417,20.6886,45.2561,44.1054,51.5021,50.268,158.575,154.769,274.23,267.391,288.378,281.359
lin19,30.3116,30.113,38.9587,38.8845,30.6823,30.7429,32.3377,31.9757,46.1251,45.9959,78.6036,77.8757
CG8728,51.55,52.0095,62.1919,62.7956,54.3708,54.8602,23.7171,23.9195,26.9273,27.1625,25.556,25.8229
CG2915,88.6209,88.15,92.9388,93.107,82.7492,82.4051,60.2396,60.5439,55.9054,56.098,58.8173,59.7486
nito,13.6888,13.961,16.1788,16.2976,11.4444,11.5066,11.6722,11.7605,23.4633,23.6286,29.3978,30.0216
CSN4,16.6941,16.6364,20.6895,20.6173,20.2607,20.1915,25.9458,25.8568,33.4977,33.5423,35.5758,35.5962
Nup44A,22.7607,22.5797,19.4827,20.1883,15.734,15.402,14.5443,14.6726,18.4806,18.4089,16.4542,16.9013
Odc1,60.7305,67.2475,45.1665,49.9476,29.6456,32.7967,23.7016,26.1895,38.1912,42.3074,23.6676,26.2019
lig,103.709,96.7686,78.8327,73.4341,66.1684,61.2372,49.7557,48.9324,114.736,108.085,125.148,117.704
Vps28,31.0415,31.4329,29.5585,30.1472,26.9745,27.5788,43.9743,45.0178,58.5671,59.7981,67.5253,69.2259
sut1,120.488,141.182,66.2323,77.5948,129.23,151.401,51.0756,59.8576,26.0342,30.4748,24.9101,29.0221
CG11210,11.9823,14.4044,14.9286,17.3249,13.1221,14.7604,17.3873,20.2202,25.0697,29.0078,32.8757,37.2162
cul-4,12.9666,13.0776,14.0107,14.1864,12.5294,12.626,10.9282,11.0434,15.1608,15.369,18.961,19.211
CG2158,31.385,32.3317,29.3376,30.2075,21.7338,22.2812,17.8894,18.4412,23.0654,23.7574,24.8518,25.64
Socs44A,13.4292,14.3687,11.4337,12.1616,10.8096,11.3751,12.002,12.7106,15.61,16.4828,17.784,18.8399
Pabp2,29.2181,28.6686,41.1997,38.6535,26.4837,25.3922,26.4604,25.1441,49.402,46.3621,66.1102,61.5162
Obp44a,983.434,1109.07,446.163,503.793,239.203,269.778,474.414,535.265,673.276,759.422,749.075,846.121
CG8709,50.3166,50.1015,37.6904,37.4829,35.602,35.6577,43.6788,43.4466,53.3475,53.6552,52.2653,51.4148
kermit,19.8265,20.829,20.9107,22.0468,12.4247,13.1757,16.3215,17.1645,22.8703,23.8084,30.8111,31.7829
CG30373,50.4841,53.787,46.5785,49.4326,34.8224,36.7392,16.4777,17.266,14.4071,15.4154,12.1162,12.991
pnut,26.1422,26.1396,35.9651,35.9731,18.7391,18.7391,26.035,26.0328,56.5265,56.5262,77.4248,77.4258
CSN7,15.1584,15.4523,21.6215,22.0406,18.3413,18.6969,27.2421,27.7702,34.8468,35.5223,46.2807,47.1779
Lcp4,72.8237,72.8237,33.6053,33.6053,4203.6,4203.6,13046.3,13046.3,6638.19,6638.19,2050.74,2050.74
Cyp4ad1,12.7587,14.3746,26.3326,29.5828,18.0591,20.2852,51.8447,58.2091,32.0216,36.0719,18.1111,20.3335
Cyp4e2,22.9124,25.2177,61.874,68.1055,64.8993,71.4482,88.282,97.2178,57.2653,62.9898,43.3215,47.6937
CG30360,143.267,148.62,252.715,262.217,107.988,112.644,48.3395,50.4599,50.8188,53.0073,40.56,42.2487
CG8690,28.7774,30.3134,89.3733,93.998,40.5983,42.5829,26.1767,27.4318,18.113,19.031,20.8778,21.8489
CG8735,16.3095,17.1638,19.2811,20.1829,26.829,28.3014,33.9951,35.4869,40.4305,42.2748,35.9644,37.808
Cirl,44.3828,41.3754,36.8185,32.1208,20.7088,19.81,29.4083,26.9844,80.2091,71.5878,121.233,106.147
Vps25,26.2486,30.0053,23.884,27.1527,22.9199,26.0466,25.4519,29.0798,28.0046,31.9637,34.6654,39.2131
CG8635,109.52,93.7954,92.5265,81.193,70.2242,61.1005,36.0724,31.4139,41.2418,36.2362,43.6423,37.7849
l(2)44DEa,129.043,98.1343,179.826,138.404,130.592,100.804,51.1238,39.3866,30.7368,26.8915,32.5963,28.2201
Jon44E,523.627,523.627,1371.83,1371.83,577.792,577.792,2049.98,2049.98,731.417,731.417,229.687,229.687
PGRP-SC2,74.7503,74.7503,30.013,30.013,10.6248,10.6248,83.3054,83.3054,133.144,133.144,76.0984,76.0984
