Gene,L1 larvae01,L1 larvae02,L2 larvae01,L2 larvae02,"L3 larvae, 12 hr post-molt01","L3 larvae, 12 hr post-molt02","L3 larvae, dark blue gut PS(1-2)01","L3 larvae, dark blue gut PS(1-2)02","L3 larvae, light blue gut PS(3-6)01","L3 larvae, light blue gut PS(3-6)02","L3 larvae, clear gut PS (7-9)01","L3 larvae, clear gut PS (7-9)02"
CG1091,22.3619,23.8728,24.3335,25.8226,20.3413,21.8109,22.1761,23.481,26.4112,28.1311,33.5753,35.8977
alphaTub84B,1233.41,1434.47,1674.6,1947.55,1272.84,1480.3,1069.14,1243.42,1165.15,1355.08,1350.96,1571.17
Mlp84B,138.963,172.158,166.304,199.161,298.156,364.058,306.397,370.55,268.186,325.403,152.993,179.686
CG2656,25.7097,26.2573,12.8093,13.0965,10.1849,10.4342,11.8346,12.0789,14.3958,14.6378,16.504,16.9075
gfzf,25.6308,26.6515,34.3685,35.8906,41.856,43.7139,19.313,20.1613,20.0499,20.7753,27.5571,28.7011
sas,17.1701,18.2406,39.3781,41.6804,49.5604,52.4975,16.2028,17.1583,19.4265,20.5302,21.2691,22.497
CG31496,16.7241,20.0764,11.1287,12.1921,17.4193,20.9337,37.0576,43.2366,57.1881,67.4189,51.0903,60.4548
CG1142,17.922,20.7681,17.4439,20.231,11.4354,13.2849,11.6129,13.4098,16.7304,19.4024,22.2314,25.6873
alpha-Est7,38.1637,39.3714,63.8055,65.8234,87.3033,90.0573,71.9517,74.2185,32.4674,33.4837,22.3748,23.0065
alphaTub84D,91.9509,91.948,73.6512,73.6528,47.142,47.1379,37.9329,37.942,46.4809,46.4874,54.7301,54.7277
alpha-Est3,25.1494,26.2236,17.8363,18.4513,21.4037,22.2644,31.5279,32.6593,29.8403,30.8193,25.68,26.4024
alpha-Est1,22.5292,23.3274,20.0663,20.7833,29.6881,30.7489,48.981,50.7079,30.7056,31.7818,19.7653,20.4633
pyd3,37.8289,39.9902,45.0486,47.5422,83.9801,88.755,47.422,50.196,24.7947,26.2572,16.2449,17.1753
Sp7,13.6342,10.1701,13.8392,13.3987,24.9022,26.8625,19.4605,21.0018,41.1295,41.3101,107.702,105.78
CG10086,16.3422,17.6189,15.8593,17.0887,16.5098,17.8151,16.9829,18.3123,13.3024,14.3541,10.018,10.7541
mRpS9,77.7037,80.9972,83.6987,87.7722,67.708,70.2768,34.2551,35.673,29.5207,30.7925,30.5364,32.0128
CG2943,41.2753,43.5997,60.9158,63.733,43.2447,45.1367,25.8986,27.0616,38.9451,40.8965,45.4756,47.4283
CG2846,30.9173,32.622,34.7297,36.6255,32.8952,34.6885,18.2448,19.1682,14.8822,15.6657,12.6798,13.379
CG2781,31.3776,28.4765,124.871,114.203,46.5305,43.6147,13.1889,14.5201,33.3041,31.1056,40.1088,35.6614
CG2698,25.0818,25.8412,17.7296,18.2079,20.4431,21.1016,22.3378,23.1197,27.9412,28.8816,30.2391,31.0484
CG2767,10.9443,11.3443,67.6338,70.1215,33.8875,35.1247,76.1721,78.9528,88.3137,91.5619,104.854,108.694
Tom34,12.11,12.3081,19.6188,19.9117,18.3659,18.6513,10.0382,10.2025,14.0816,14.3121,18.3301,18.6031
CG7878,28.9264,28.5492,26.8741,26.7994,22.8781,22.7458,21.4632,21.4474,26.888,26.617,28.815,28.8088
CG9667,16.2163,16.4863,16.8776,17.165,10.2275,10.4173,10.7417,10.9164,11.7554,11.922,14.7233,14.9558
CG33722,11.1723,12.2674,20.2058,21.3192,14.7184,15.2674,18.9387,19.8436,24.9973,27.0844,31.1222,33.0042
RpA-70,16.9516,19.257,17.4541,19.7964,13.8198,15.7008,20.7847,23.6105,23.9032,27.0993,29.369,33.3214
mRpL1,51.5166,55.1494,55.8354,59.7082,38.0007,40.7238,13.0228,13.8645,11.2918,11.903,13.0877,13.8747
eIF4AIII,70.0409,75.6359,59.4248,64.1453,40.5952,43.8619,40.6778,43.9637,45.6528,49.3171,51.3649,55.5005
Ctr1B,65.8827,70.8113,17.0319,18.372,21.0155,23.0243,287.969,304.191,146.846,154.993,112.231,120.859
CG9603,728.457,702.17,786.003,750.431,654.754,643.75,467.28,456.517,231.273,229.726,251.498,240.692
DppIII,35.0822,35.0376,94.3346,94.8346,80.667,80.5982,72.3696,72.7436,107.868,109.237,122.743,123.237
stck,80.4048,82.9287,61.385,64.499,66.7427,69.2697,57.8236,63.3181,60.0283,62.3984,68.2282,72.2578
mRpS18A,62.254,67.9069,70.7271,76.9559,41.1262,44.6898,15.8828,17.2291,17.2077,18.8043,19.3926,21.132
Mkk4,12.2279,13.4992,15.1204,16.7989,13.5394,14.9443,10.8756,12.4228,17.4814,19.3493,23.1882,25.6638
Dhod,18.2161,20.111,23.4794,27.7993,23.2168,26.8444,20.1194,23.4666,24.326,28.8931,30.9905,36.1525
