gene,Hillucens SD1,Hillucens SD2,Hillucens SD3
NP_001262426,21.3339,66.1108,42.6315
NP_648848,11.087,14.1349,11.229
NP_001260414,11.9279,10.7665,11.657
NP_572998,16.785,10.7982,18.274
NP_001284943,30.6905,15.9777,33.8173
NP_523419,15.5337,12.3745,14.3171
NP_001285613,27.1878,14.1957,28.1745
NP_650954,23.7285,23.5841,22.1738
AAL68340,135.983,119.772,142.161
NP_650643,37.705,55.757,36.1817
NP_001287481,341.639,397.061,396.139
CAA58023,612.617,675.429,638.553
ACT82949,82.5025,44.669,88.5974
NP_001261871,14.8038,12.1503,12.9239
NP_001286628,115.259,119.736,141.889
AAM52624,44.8544,23.7504,44.4034
AAL68349,18.6744,17.5549,14.4588
NP_609444,14.7774,11.2707,14.4838
NP_001245404,515.318,558.021,481.407
NP_609040,16.9043,17.3642,16.2283
NP_001188916,33.9747,19.5108,11.3592
NP_001162693,48.2854,28.649,48.7933
NP_649139,60.2898,20.2453,49.0332
NP_001285446,22.5039,14.48,21.1263
NP_001033899,99.6301,75.0133,102.705
NP_001261955,40.0195,22.4379,40.2779
NP_651578,101.104,29.8583,55.4675
NP_001259970,403.305,401.402,439.606
AAD46853,78.8604,48.0391,72.0532
AAG17032,59.4004,70.48,60.2723
NP_001261687,99.2371,63.125,95.0541
NP_001261994,22.987,26.8725,23.3701
AFH89824,32.1587,30.4201,38.5745
NP_611228,36.1783,53.9193,35.1868
NP_001262821,28.3591,19.7941,29.8333
NP_648273,13.4182,12.8239,14.3326
NP_524358,108.735,72.337,110.929
CAA70286,18.8521,12.1729,26.324
NP_725564,49.0802,49.3468,52.9885
NP_523836,104.54,94.2816,95.93
NP_001286363,59.5641,103.906,74.2664
NP_524043,18.5642,12.5645,19.0054
NP_001261630,12.2446,14.4479,11.6364
NP_001036387,509.824,543.936,535.272
ACX30017,39.4102,34.3726,46.3019
NP_651876,383.778,471.21,437.469
AHZ64223,31.6072,18.3144,35.2541
NP_001163480,15.5171,14.1397,15.2036
NP_524011,97.0762,64.9088,111.607
NP_611693,596.675,656.808,588.633
6XU6_CC,346.304,426.845,389.171
NP_001259663,12.4851,18.3812,14.5638
NP_001259876,38.9425,22.1836,43.5832
NP_649539,294.683,394.116,482.08
NP_609037,24.6548,13.7715,23.8514
NP_650774,17.6113,12.7298,19.7923
NP_001261742,52.0701,28.7631,52.6331
NP_611604,73.8491,97.7906,70.4508
NP_001163296,22.8433,10.7303,23.7284
NP_001247111,114.884,114.763,127.227
NP_001245509,19.5797,11.0242,18.6694
