	NP_651781	NP_610460
NP_609222	-0.4672596518928241	-0.10364732779671108
NP_001262202	0.7128086235645688	-0.9825144547510224
CAA48872	-0.1633794660139165	-0.41314722964641143
NP_001033885	0.17908098152744806	-0.6961889148096859
NP_001247362	0.9886624261349524	-0.7379640889445781
NP_001259397	-0.04789399580562896	-0.5159447760254853
NP_001245533	-0.8052648616615751	0.9990032755260329
NP_477136	0.8688941050703862	-0.9973954354522572
NP_724333	-0.7784991597060537	0.29766754961645864
NP_001259956	0.31071712451765543	-0.7870238940995469
NP_648409	-0.2189077000891886	-0.36098848999738015
ABG02165	-0.2276905888046035	-0.3525710841967486
NP_001245895	-0.7041744102294012	0.1900736845834409
NP_648910	0.006528861264760659	-0.5617928897362439
NP_001262647	0.2993043682418179	0.2821735751863293
NP_001259822	0.6386727325193113	-0.9588133877830401
NP_001261698	-0.9857836508850039	0.7256326734774872
NP_001287055	0.9642547683120049	-0.9486541922645854
NP_001036353	-0.01426265315695029	-0.5444719001830159
NP_610294	-0.9893886429158534	0.7412726852364169
NP_477135	-0.5740814223788941	0.021457681110710586
NP_730672	-0.7126593507992763	0.20186262339106595
AAN71367	0.26876121101609446	0.3125875071714261
NP_001097399	0.0015721476044868112	-0.5576853874869063
NP_609183	-0.2794955100265303	0.7664470187434408
NP_650498	0.7646998400546956	-0.2768869517617768
NP_001247382	-0.21066333059304784	-0.36884774261040676
NP_477101	-0.25955363347574567	-0.32164145277156503
NP_732610	-0.8506673744418991	0.4143522466645742
NP_611539	0.6411728246475429	-0.9597324172933557
NP_001246062	-0.7554351402260098	0.2631592846458399
NP_001285895	0.981190676385309	-0.9227030963547058
NP_649940	0.7644921614042145	-0.2765773083977371
NP_001189044	-0.42204115331699427	-0.15371501266098628
NP_001286731	-0.5617842368503159	0.006518402057626341
NP_610057	-0.4703049582860823	-0.10021769066490142
NP_001027048	-0.45440184126244293	-0.1180460129274269
NP_001285259	-0.3262379642410608	-0.2548585967728555
ACH92188	0.9475924363973479	-0.9651343897773532
NP_001285378	-0.288384609879543	-0.2931148584081706
NP_001303388	0.30245540969345014	-0.7816395880332216
6XU6_CX	0.8396577063992594	-0.3955165176033253
NP_001262426	0.6956622111224062	-0.1783593359186646
NP_648848	0.3099612684159753	0.27142203417289806
NP_001260414	-0.47826037409362	-0.09122273867340862
NP_572998	-0.08448863886435244	-0.4841863772447747
NP_001284943	-0.10878905306191933	-0.4626816539347893
NP_523419	-0.6174973583900776	0.07546268774484684
NP_001285613	-0.20903229377215163	-0.37039778561295494
NP_650954	-0.7561999539072797	0.9924096819105009
AAL68340	-0.00343882815035443	-0.5535190245007442
NP_650643	0.20245111364905427	0.37663609834396883
NP_001287481	0.9652860554333784	-0.6567597495001712
CAA58023	0.6421073973079272	-0.10701623294693194
ACT82949	-0.14494890771137478	-0.4300617576845915
NP_001261871	-0.85918786686313	0.429245993273383
NP_001286628	0.8021992908219835	-0.9987600322897843
AAM52624	-0.2884147232438462	-0.2930847899626862
AAL68349	-0.8586142439704564	0.9986593818332397
NP_609444	-0.3423324499177732	-0.23830898357592215
NP_001245404	-0.1825452856625407	0.698713149809576
NP_609040	-0.35146247154298255	0.8129238648445477
NP_001188916	-0.9934984630692966	0.8888671846583188
NP_001162693	-0.24910446600250466	-0.3318528506864046
NP_649139	-0.5225923628824709	-0.04012301700861104
NP_001285446	-0.4215024842101914	-0.15430202198175985
NP_001033899	-0.1715459764425163	-0.405589643267389
NP_001261955	-0.25827017872160807	-0.3228993244448044
NP_651578	-0.8182476089177656	0.3600612136592308
NP_001259970	0.666214130654403	-0.9685021072381543
