gene	bait	correlation
NP_001261766	NP_001137610	0.9957171183210289
NP_572160	NP_001137610	-0.997378412718885
NP_649476	NP_001137610	0.9949201930596763
NP_001303491	NP_001137610	-0.9999815776691694
NP_572488	NP_001137610	-0.9891047012493203
NP_995833	NP_001137610	-0.995691675065382
NP_001259984	NP_001137610	-0.9999010834194816
NP_649580	NP_001137610	0.999542100300391
NP_652032	NP_001137610	0.9974348506522407
NP_001287070	NP_001137610	0.9960571162472716
NP_001163313	NP_001137610	0.9964633837988737
NP_001261248	NP_001137610	0.9954640049254627
NP_001261083	NP_001137610	-0.9998523871628793
NP_730984	NP_001137610	0.9958620419542232
NP_524660	NP_001137610	0.9959699044730954
NP_647985	NP_001137610	-0.9995458262623179
NP_524427	NP_001137610	0.9910910180950563
NP_523357	NP_001137610	-0.9997611107163283
NP_788448	NP_001137610	0.9999996650171606
NP_524938	NP_001137610	-0.9912755041928106
NP_788494	NP_001137610	-0.9993294581274805
NP_001259576	NP_001137610	0.9971423664038331
NP_001246323	NP_001137610	-0.9918658955925357
NP_001188977	NP_001137610	0.997322005197023
NP_477118	NP_001137610	0.9948101724602524
NP_477448	NP_001137610	0.9996072738850734
NP_732013	NP_001137610	0.997031067050251
NP_732900	NP_001137610	-0.9954744167916357
NP_611968	NP_001137610	0.9999941770210354
NP_996404	NP_001137610	0.9995139675648762
NP_524330	NP_001137610	-0.9982907318100023
NP_001262599	NP_001137610	-0.9974417774587488
NP_001163479	NP_001137610	-0.9976184776983216
NP_001260510	NP_001137610	-0.9944170636849236
NP_523926	NP_001137610	0.997733510432171
Q9VP61	NP_001137610	-0.9987951168417142
NP_731192	NP_001137610	0.993814774427368
NP_995869	NP_001137610	0.9947026713787068
NP_611302	NP_001137610	-0.9996708071293344
NP_001246321	NP_001137610	0.999745811911463
NP_650898	NP_001137610	-0.994311823023112
NP_001285190	NP_001137610	0.999928389375011
NP_651288	NP_001137610	0.9978550209796515
NP_524780	NP_001137610	-0.9941605735432926
NP_001262259	NP_001137610	0.9975207240786813
NP_611087	NP_001137610	-0.9986496185281851
NP_001284899	NP_001137610	-0.9996222123472607
NP_001262037	NP_001137610	-0.9961837611935539
NP_523735	NP_001137610	-0.9988887869697026
NP_001245926	NP_001137610	-0.9912980949841822
NP_611232	NP_001137610	-0.9908632639941839
NP_001286475	NP_001137610	0.9994394364691735
NP_476819	NP_001137610	-0.9974369313127274
NP_001262895	NP_001137610	-0.9971101153121817
NP_648657	NP_001137610	0.9983981754236984
NP_523369	NP_001137610	0.9983891390615494
NP_001259905	NP_001137610	-0.9949129424777865
NP_001247286	NP_001137610	-0.9938821596673637
NP_001261081	NP_001137610	0.999066027594803
NP_611735	NP_001137610	0.9986113354018971
NP_650752	NP_001137610	0.9913913000157143
NP_001163721	NP_001137610	-0.9926896697041125
NP_572360	NP_001137610	0.9959361907314337
NP_001263131	NP_001137610	0.9991935249029653
NP_001260781	NP_001137610	0.9992815310050067
NP_732110	NP_001137610	0.9986508436171475
NP_611095	NP_001137610	-0.9939763195110263
NP_729055	NP_001137610	-0.9922474723643494
NP_610020	NP_001137610	0.9992703753904609
NP_001261427	NP_001137610	-0.995718745047675
NP_524315	NP_001137610	0.9999626508462449
NP_651767	NP_001137610	0.9924123524250843
NP_649974	NP_001137610	-0.9984347110755452
NP_001262055	NP_001137610	-0.9911425606282761
NP_651912	NP_001137610	0.9932588226202917
NP_001260679	NP_001137610	-0.9959804079081666
NP_724982	NP_001137610	0.9983019741519692
NP_611607	NP_001137610	0.9996639379796142
NP_523398	NP_001137610	0.9995009126125298
NP_572422	NP_001137610	0.9959368864980535
NP_001356963	NP_001137610	0.9965159740321586
NP_001285059	NP_001137610	0.9999051089380478
NP_001285227	NP_001137610	0.9999918812513862
NP_573232	NP_001137610	0.9996154468563866
NP_651908	NP_001137610	0.9975730474092919
NP_477446	NP_001137610	0.9992768546197763
NP_524408	NP_001137610	-0.9919560861560123
NP_608387	NP_001137610	0.999175019391301
NP_001303417	NP_001137610	-0.9999195753800515
NP_001260537	NP_001137610	-0.9928928576737175
NP_001286614	NP_001137610	-0.9925857632240365
NP_001285353	NP_001137610	-0.9923327522734868
NP_651001	NP_001137610	-0.9932849472361058
NP_648302	NP_001137610	-0.9994026155178907
NP_609789	NP_001137610	-0.9905363385072823
NP_651320	NP_001137610	-0.9932156985881924
NP_001261958	NP_001137610	-0.9994190791653417
NP_001259991	NP_001137610	-0.9994907772912709
NP_650382	NP_001137610	-0.9918177431224999
NP_001286706	NP_001137610	0.9939141241761538
NP_732312	NP_001137610	-0.9977848855569192
NP_609219	NP_001137610	-0.9914367815118866
NP_523443	NP_001137610	0.9995226447034214
NP_524586	NP_001137610	0.9939116101968792
NP_612572	NP_001137610	-0.9999883610221207
NP_729654	NP_001137610	-0.9990092029721034
NP_001287187	NP_001137610	-0.9975038414860502
NP_477156	NP_001137610	0.9965710143178083
NP_001262288	NP_001137610	-0.9993394979910993
NP_524380	NP_001137610	-0.9984579253347202
NP_573062	NP_001137610	-0.991511950358448
NP_650331	NP_001137610	0.99807092295806
NP_648427	NP_001137610	-0.9993404433834653
NP_001259370	NP_001137610	0.9995058308359613
NP_001188992	NP_001137610	0.9997675236567309
NP_001284786	NP_001137610	-0.9998721169919329
NP_001259397	NP_001137610	-0.9999990201731447
NP_610477	NP_001137610	0.9995104707472751
NP_651296	NP_001137610	-0.9995645003611777
NP_573054	NP_001137610	-0.9964389236215816
NP_611265	NP_001137610	-0.999130887610821
