gene	bait	correlation
NP_476819	NP_001285543	0.9992993020416913
NP_648657	NP_001285543	-0.9958820268562197
NP_523369	NP_001285543	-0.9997447913949857
NP_001287214	NP_001285543	-0.9892773091935156
NP_611735	NP_001285543	-0.9962281835241955
NP_650752	NP_001285543	-0.9952861558798003
NP_572360	NP_001285543	-0.9922774041008351
NP_732110	NP_001285543	-0.999842007737552
NP_611095	NP_001285543	0.997140605834437
NP_610020	NP_001285543	-0.9973819003248777
NP_524315	NP_001285543	-0.9990834586520757
NP_995712	NP_001285543	0.9921760920435798
NP_649974	NP_001285543	0.995940697576663
NP_651912	NP_001285543	-0.9887181432239839
NP_724982	NP_001285543	-0.9957287253117463
NP_611607	NP_001285543	-0.998194477163683
NP_724163	NP_001285543	0.9920037036169556
NP_523398	NP_001285543	-0.9999966725180263
NP_572422	NP_001285543	-0.9922783623651057
NP_730525	NP_001285543	-0.9897610075007156
NP_610963	NP_001285543	-0.9889210413088438
NP_001356963	NP_001285543	-0.9987838096179176
NP_725213	NP_001285543	-0.9929877401376691
NP_573232	NP_001285543	-0.9999792549875208
NP_651908	NP_001285543	-0.9993696170544426
NP_524002	NP_001285543	-0.9920578361714537
NP_477446	NP_001285543	-0.9999925599287863
NP_608387	NP_001285543	-0.9999792145114718
NP_001303417	NP_001285543	0.999769051124219
NP_001286614	NP_001285543	0.9961592150092383
NP_651001	NP_001285543	0.9966580147423775
NP_648302	NP_001285543	0.9999999230854525
NP_542438	NP_001285543	0.9920026421201199
NP_651320	NP_001285543	0.9966090680602637
NP_650382	NP_001285543	0.9956006034993724
NP_001286706	NP_001285543	-0.9970976706140906
NP_732312	NP_001285543	0.9994752528388866
NP_609219	NP_001285543	0.9953198282979137
NP_524421	NP_001285543	0.9928947945097852
NP_523443	NP_001285543	-0.9999946361444382
NP_524586	NP_001285543	-0.9970959330528824
NP_651280	NP_001285543	0.99108882348477
NP_612572	NP_001285543	0.999569313429884
NP_729654	NP_001285543	0.9999465030175104
NP_001287187	NP_001285543	0.9993340914256313
NP_523420	NP_001285543	-0.9917275245921923
NP_477156	NP_001285543	-0.9988162574280983
NP_524380	NP_001285543	0.999771727579167
NP_650331	NP_001285543	-0.9996094496113674
NP_648427	NP_001285543	0.9999976959383905
NP_610615	NP_001285543	0.992671823720651
NP_610477	NP_001285543	-0.9978578582866368
NP_651296	NP_001285543	0.9999891367547857
NP_573054	NP_001285543	0.9987380874080535
NP_611265	NP_001285543	0.9999717241624125
NP_648910	NP_001285543	0.9961990690817635
NP_650772	NP_001285543	0.9991345648768416
NP_996103	NP_001285543	-0.9997481377949823
NP_477414	NP_001285543	0.9975224764313818
NP_524051	NP_001285543	0.9994187656345361
NP_001286442	NP_001285543	0.9996135049418341
NP_648094	NP_001285543	-0.9972141806946757
NP_649352	NP_001285543	0.9975927427343279
NP_611647	NP_001285543	0.9989449097177344
NP_572572	NP_001285543	0.9943154363850343
NP_649161	NP_001285543	0.9950310572834519
NP_649602	NP_001285543	0.999429335088624
NP_572998	NP_001285543	0.999992386848613
NP_001285613	NP_001285543	0.9915751243451454
NP_476636	NP_001285543	0.9938658558349764
NP_650643	NP_001285543	-0.9924238126897664
NP_511166	NP_001285543	0.9955736569743961
NP_476929	NP_001285543	0.9976279366104556
NP_001287008	NP_001285543	-0.9999914796764944
NP_788550	NP_001285543	-0.9926899074665018
NP_573044	NP_001285543	0.9991269938168887
NP_651556	NP_001285543	-0.995303397795738
NP_524606	NP_001285543	0.9979729842472288
NP_651191	NP_001285543	0.9959153665668165
NP_572952	NP_001285543	0.9967332960177484
NP_611223	NP_001285543	-0.9905848891299964
NP_476646	NP_001285543	-0.9979245588177988
NP_611228	NP_001285543	-0.9893421586143415
NP_524846	NP_001285543	0.9985354850026822
NP_650540	NP_001285543	-0.994703078149539
NP_524043	NP_001285543	0.991323115551979
NP_524351	NP_001285543	0.9938179238994149
NP_648328	NP_001285543	-0.9974315434708793
NP_524011	NP_001285543	0.9933105537728112
NP_611693	NP_001285543	-0.9963861397670464
NP_725252	NP_001285543	0.9991560515733587
NP_649898	NP_001285543	-0.9962598141553164
NP_650774	NP_001285543	0.9936061597697383
NP_523473	NP_001285543	0.9983444156545999
NP_649202	NP_001285543	-0.9998375851121157
NP_611604	NP_001285543	-0.9968890654583044
NP_731599	NP_001285543	-0.999677368849969
NP_001285657	NP_001285543	0.9956297587787283
NP_729916	NP_001285543	-0.9999753766920322
NP_996031	NP_001285543	-0.9947511797494967
NP_732364	NP_001285543	0.9976739233795264
NP_609190	NP_001285543	0.9973073180984631
NP_723994	NP_001285543	-0.9911558394300841
NP_001303458	NP_001285543	0.9999988184732826
NP_650775	NP_001285543	0.999843204190979
NP_608929	NP_001285543	0.998775380009055
NP_649439	NP_001285543	-0.9942490305636503
NP_001286407	NP_001285543	-0.999680244346667
NP_726040	NP_001285543	-0.9997113280921991
NP_649527	NP_001285543	0.9985669001716427
NP_648665	NP_001285543	0.9999244808261412
NP_524032	NP_001285543	-0.9895071541304324
NP_523893	NP_001285543	-0.9999980657965709
NP_650708	NP_001285543	0.9988166247740292
NP_727152	NP_001285543	0.9996095265260063
NP_729406	NP_001285543	-0.9993752830034615
NP_523969	NP_001285543	0.9956982355681497
NP_648756	NP_001285543	-0.9918797866046098
NP_001303375	NP_001285543	-0.9997879793593419
NP_524103	NP_001285543	0.9950837753104353
NP_730051	NP_001285543	0.9990718984980307
NP_610296	NP_001285543	-0.9998886083147074
NP_524022	NP_001285543	0.9992760489103444
NP_001285787	NP_001285543	0.9946230873978535
NP_995814	NP_001285543	-0.9893360909231931
NP_609228	NP_001285543	0.9995611280248415
NP_650565	NP_477153	-0.9965840388139287
NP_647887	NP_477153	0.9968957858809093
NP_647931	NP_477153	0.9989144926592586
NP_650131	NP_477153	-0.9923094668464062
NP_523450	NP_477153	-0.9995591248804008
NP_572475	NP_477153	0.9978932311524551
NP_733336	NP_477153	0.9987817806529098
NP_723510	NP_477153	-0.9958748263682362
NP_651435	NP_477153	0.9964838130583586
NP_572536	NP_477153	0.9949760114973253
NP_650253	NP_477153	-0.9999707377436684
NP_611650	NP_477153	-0.9983290588034962
NP_651326	NP_477153	-0.993829077841158
NP_524654	NP_477153	0.9925563925619123
NP_651243	NP_477153	-0.9917791129868658
NP_651455	NP_477153	0.9993567439118585
NP_788610	NP_477153	-0.9993768344446782
NP_610876	NP_477153	-0.999998871578503
NP_611175	NP_477153	-0.9900684669642158
NP_650854	NP_477153	0.9935521339984005
NP_572215	NP_477153	0.9936581043493657
NP_511068	NP_477153	0.9987920228806849
NP_608834	NP_477153	-0.9999916434844626
NP_726358	NP_477153	0.9999855312377541
NP_608375	NP_477153	-0.9930556358846535
NP_732572	NP_477153	-0.9988045138605081
NP_572884	NP_477153	0.9949821859561282
NP_726775	NP_477153	0.9988185286293252
NP_610178	NP_477153	-0.9961266052954023
NP_650248	NP_477153	-0.9994790497141864
NP_477453	NP_477153	-0.997971879346041
NP_610400	NP_477153	-0.9929318520986952
NP_524901	NP_477153	-0.9983785376161236
NP_572434	NP_477153	-0.9999602137147566
NP_649090	NP_477153	0.994168248367464
NP_652610	NP_477153	0.9949746655066736
NP_523568	NP_477153	0.991282794224077
NP_996288	NP_477153	-0.9902104432863753
NP_650705	NP_477153	0.9982294822145387
NP_611091	NP_477153	0.9923301705419546
NP_729910	NP_477153	0.9998927855642288
NP_570025	NP_477153	-0.9988764103590342
NP_788288	NP_477153	0.9948705314475801
NP_477378	NP_477153	-0.9897952273608603
Q9GYV5	NP_477153	0.9997757798610207
NP_609709	NP_477153	-0.9996626493267466
NP_610501	NP_477153	-0.9989274766099306
NP_611966	NP_477153	-0.9971552814796681
NP_651659	NP_477153	0.9999629110069045
