	NP_001286321	NP_001259822	AAN71367
NP_001262259	0.9393875684190519	-0.6897040110023004	0.9879863999586028
AAR82755	-0.9277010005335833	0.7129618109847496	-0.9824181710371687
NP_524836	-0.9675270370653611	0.6183670398299126	-0.9981555502166121
NP_001137769	-0.7548887560052968	-0.2995188529368144	-0.6136622052278177
NP_001286545	0.9598061147387604	-0.6408532673017211	0.9959803895566246
NP_001246231	-0.9930818942433162	0.28923557143166234	-0.9515712317695485
NP_001097437	0.5292445119467601	-0.9892754411789721	0.6834686811207145
NP_651582	0.9788358161747379	-0.20358707342759963	0.9207112527802656
NP_648918	-0.8178566334596622	0.8543213067673593	-0.9137702044352303
NP_651781	0.45012084533066626	0.6386727325193113	0.26876121101609446
NP_649470	0.9999239823111306	-0.3883065092862192	0.9786263351725084
NP_476667	0.9872933495746881	-0.24889457132612716	0.9378622455180582
NP_650501	-0.9758025093161219	0.590403070645862	-0.9996712965207418
NP_609397	-0.8409037448450231	-0.16003074609866064	-0.7202461128043074
NP_001287214	0.9714235592555316	-0.6057938108201788	0.9989945995143564
NP_609058	-0.8910406511294511	-0.06000412920767396	-0.7863254701249016
NP_523400	-0.6882268357664398	0.9400843813185529	-0.8156409148958363
NP_477153	0.9983513590824848	-0.34636519457215315	0.9683598424437772
NP_477159	-0.822914078627611	0.8496908988784834	-0.917327458025593
NP_001287182	-0.9993076675029552	0.4334672739970744	-0.987609826289955
ACV44467	0.6658895074873229	0.41776804564305875	0.5088871187240077
NP_001246899	-0.4636293781020528	0.9974831450748275	-0.6263647442520882
NP_001286919	0.8080254670169147	0.21713642125701446	0.6787057431491328
NP_001245928	0.35438197811786915	-0.9988060768839205	0.5286819775770248
NP_001096993	0.965191015353082	-0.6254804284215203	0.997562902212371
NP_523398	0.9253672742833559	-0.7172979301847273	0.9812411335756621
NP_001284754	0.5729638922757536	-0.9802659176797484	0.720769389074055
NP_725591	0.9928383732251215	-0.28726684806813657	0.9509371511954999
NP_001259146	-0.9998471391755475	0.41560570694378035	-0.9843219245263568
NP_001033891	0.9883181721113791	-0.2552657901246307	0.940126549262591
NP_001285059	0.9072218274881443	-0.7481622321583193	0.9714874173657111
NP_477314	0.8573796810238395	0.12915425283425444	0.7415399565239699
NP_001247301	-0.9668949929322743	0.6203209226639506	-0.9980013780102962
