gene,Hillucens SD1,Hillucens SD2,Hillucens SD3
NP_650685,5.06164,6.09654,5.10666
NP_609238,2.75951,2.66344,3.0979
NP_001260824,0.188338,0.330647,0.264818
AAX33422,0.900972,0.892172,1.00493
NP_647985,1.49266,0.221435,1.94852
NP_650705,1.00561,1.11328,1.02723
NP_001096954,5.61194,4.22389,5.08825
NP_001260299,5.30064,4.77632,4.50224
NP_001260473,11.3413,11.9327,7.6178
NP_001188576,2.20061,2.47824,2.02589
CAC82994,7.70027,7.35646,8.54446
NP_001287560,1.6665,1.34241,1.33119
NP_648462,2.3884,1.45791,3.27253
NP_523719,3.75675,4.00556,3.51863
NP_511170,0.188001,0.19799,0.170166
NP_524075,3.06677,2.29986,2.51014
NP_001261257,2.12939,2.6005,2.3741
NP_572320,13.595,17.2637,16.8641
ACV88436,1.34791,1.05883,1.31289
AAA85908,6.23824,7.2192,5.21037
NP_649304,4.69178,8.31964,4.30931
NP_650724,13.0033,6.18201,10.3204
NP_001286547,0.687595,0.568553,0.67383
NP_001259536,0.277679,0.427886,0.346771
AAL40003,1.03449,1.32901,1.29419
NP_609382,6.58424,7.69439,6.53287
NP_523588,1.38997,1.10076,1.10433
NP_001260128,32.833,19.8498,22.8759
AAQ22398,1.00412,1.01678,0.989354
AAY54856,1.62069,1.86874,1.55902
NP_001246745,12.7669,11.1501,8.59145
NP_524427,6.55172,7.12091,6.48636
NP_572947,1.18421,1.15223,1.11964
NP_608648,0.990902,0.71626,0.788146
NP_609579,7.21961,8.11626,6.61818
NP_523357,0.470742,0.401954,0.489563
AAX33453,6.59873,5.99235,7.91271
AAD26161,1.00789,0.966299,0.936085
NP_650428,1.2087,1.50628,1.3346
NP_611091,0.72414,0.906031,0.791407
NP_729910,2.80231,3.17509,2.90334
NP_652145,45.8179,30.1669,81.1579
NP_788448,3.31818,4.32498,3.00909
NP_647829,0.696026,0.711297,0.428565
NP_001096967,1.72973,1.89524,1.71075
NP_001287175,0.621205,0.616016,0.712559
NP_570025,2.71813,2.54306,2.68093
AAM50807,0.368642,0.326362,0.312342
NP_649899,4.12914,2.86587,4.03513
ACU45752,0.182718,0.188175,0.40353
NP_651717,7.4316,6.36735,5.92081
NP_651605,0.694187,0.60986,0.787968
NP_001246685,2.28053,3.34709,2.69716
NP_788288,9.46048,13.4081,10.0907
NP_001246599,3.81131,2.12017,3.72821
NP_477268,1.48261,1.41696,1.40077
ABC86523,0.557133,0.269978,1.25432
