	cv-c	loco	luna	CG6191	larp	Skeletor	puc	bol
Dad	-0.2721887630620695	0.03992172954723739	-0.4288049681277372	-0.8306283970365093	-0.2802815002459351	-0.9967239817587354	0.9825177632396113	-0.8533149429565818
pio	-0.6818932789919221	-0.8752474561232328	-0.5504017139945755	0.9066787146551946	0.966211300353521	0.5857039018319733	-0.34995220722246595	0.888133292910848
RN-tre	-0.9911274526201894	-0.9834311570734862	-0.9550962118330332	0.43334719600110194	0.910442023108461	-0.06135222131196094	0.3236824953208762	0.39505559091092485
KrT95D	-0.5104981067738665	-0.7521794317566912	-0.3599939161230742	0.9757072521728049	0.8891655186057682	0.7448647957885557	-0.5414022343806958	0.9656286839766752
Atet	-0.27142585732179486	0.04071383646153797	-0.42808866404966517	-0.8310695615446053	-0.2810423884250588	-0.99678778497226	0.9823698688740934	-0.8537280121100318
RpL3	0.8943370733405518	0.7113013827329553	0.956409798612881	0.1484047513574686	-0.5202920947440106	0.6119701334697211	-0.7996892093649084	0.18987037690190822
RhoGEF2	-0.9754515175597936	-0.9956259753962081	-0.9250850830144238	0.5114989187746776	0.9435125178680346	0.027330570262155827	0.23857108123763915	0.4749023904420282
trio	-0.47787626141105755	-0.72692589376197	-0.3247362614220421	0.9832400021084451	0.871370968081368	0.7693740506885165	-0.5725662290344985	0.9747010986997205
NK7.1	-0.8744871747583455	-0.6807443127335173	-0.9431155478187863	-0.19035591093019708	0.4834776778998531	-0.6450731173393558	0.8245164650084396	-0.2314810704978716
Dbp80	-0.9989543364828355	-0.9354259499960742	-0.9925954842722565	0.26592090447878985	0.8222236963704727	-0.2381253272783131	0.48701025702665585	0.22513729098932034
Scgdelta	-0.4667226165849654	-0.1691647029605919	-0.6076386288334144	-0.6963655306140647	-0.07410492084273859	-0.9579915217655847	0.9997434306485459	-0.725937121835979
bab2	-0.9937192925546923	-0.9099073185165315	-0.9984676871957092	0.20137125275039747	0.7826461301252235	-0.30204454468391445	0.5438891662308627	0.15999194790145194
PlexA	-0.2601336384207083	-0.5469862115489684	-0.09551219072765738	0.9986621204848798	0.7331313285478468	0.897000146751235	-0.74777686473265	0.9999533584624863
Gasp	0.8488505349816804	0.9710066379930337	0.7488362985699911	-0.7655420254992773	-0.999996177269651	-0.35441564436440465	0.0939222812699308	-0.7378019245608142
gukh	-0.5308330946083348	-0.7676605234172335	-0.382112048132962	0.9702126692284088	0.8998116447671567	0.7287623827800835	-0.5212241246836165	0.959164103214918
Nipped-B	-0.7575135344356129	-0.5174741872805373	-0.8557498674098551	-0.38610588597955453	0.29527328336158865	-0.7870428590574201	0.9223922413817931	-0.4245651346367122
Rip11	0.9966161232736663	0.9729065227487834	0.9689638195914645	-0.3868228031466116	-0.8881628078967307	0.11217401926790198	-0.3715135893946382	-0.3476921261626222
goe	-0.9457528365303819	-0.7982021622299547	-0.9866815774419426	-0.015997465083080403	0.6289094734331842	-0.5017255703576867	0.7130371886865207	-0.05804066531111953
CG18659	-0.3765986599271394	-0.6455331570457385	-0.21688198360494254	0.9974643745801635	0.8110098396810511	0.8360118558899279	-0.6606964006487379	0.9935880873418154
CG6191	-0.3097157915045141	-0.5895433671627665	-0.1468584354758886	1.0	0.7673180867542895	0.8729424923338572	-0.7124432797764435	0.9991149712670725
CG8740	0.9328705204216833	0.7749917481594943	0.979868934414783	0.05357522628416271	-0.5992364622001186	0.5338906167983183	-0.7388911980200814	0.0955301419580463
obst-B	-0.2208283941574896	-0.5126454110380158	-0.05513318831385888	0.9957497944399487	0.7049963857783703	0.9141606502876839	-0.7740443143485406	0.9987424913022802
Ptpmeg2	-0.5249147217237282	-0.23480274071975024	-0.6594730140929286	-0.6467284646562683	-0.007139318735014726	-0.9366293728356863	0.9959808534683415	-0.6782381989231483
Atf3	-0.7996642487135848	-0.5737986631618177	-0.8885791589267236	-0.32325427017106334	0.3587995988579306	-0.7438153400076744	0.8943556712814615	-0.3627726636449413
Lnk	-0.8151466729607152	-0.5950943715354924	-0.9003116220851649	-0.2983083871601252	0.3831720924606226	-0.7260183852617981	0.8823074317752618	-0.3381919809022153
seq	-0.43036829321191694	-0.6892838040286662	-0.273854198832661	0.9915610332969826	0.8439769913481144	0.8023340162303203	-0.6154582483813138	0.985230429092378
CG12206	-0.9969937614757912	-0.9718020800726602	-0.9701222369414633	0.3824567311512543	0.8859793227161411	-0.11687286418687526	0.375900851548625	0.3432533919236582
Proc-R	0.48218677892801487	0.7302914021348573	0.3293796970720934	-0.9823322951100105	-0.8737712086789897	-0.7662259282545968	0.5685308167406841	-0.9735910698862733
AdamTS-B	-0.9858033968913567	-0.9892301019188707	-0.9440133192888528	0.4649666455252821	0.9245087904407947	-0.02599442934739366	0.28999872978979957	0.4273158058821115
pigs	-0.5712757818511023	-0.797812803401513	-0.4264431794979801	0.9573339525655519	0.9198954125078859	0.6947244488196256	-0.47925754460847314	0.9443312288979269
CG12075	0.31253555920686704	0.002261847934311192	0.4665301132276403	0.8064012021948551	0.2395410975406792	0.9924252715432643	-0.9894961942431466	0.8305621082442599
